"Industries,
 Prefectures and 21 Major cities",,,,,Number of establishments,,,,Number of persons engaged,Total cash wages and salaries,"Cost of raw materials, fuels and electricity consumed, and subcontracting expenses for consigned production",Value of manufactured goods shipments,Value of production,Value added
17,石油製品・石炭製品製造業,29,奈良県,2019,1,1,***,***,76,X,X,X,X,X
17,石油製品・石炭製品製造業,30,和歌山県,2019,5,2,2,1,940,"6,083","500,693","540,891","541,380","▲ 27,634"
17,石油製品・石炭製品製造業,31,鳥取県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,32,島根県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,33,岡山県,2019,3,2,***,1,"1,250",X,X,X,X,X
17,石油製品・石炭製品製造業,34,広島県,2019,1,1,***,***,52,X,X,X,X,X
17,石油製品・石炭製品製造業,35,山口県,2019,4,1,1,2,"1,160","7,708","751,087","946,932","929,799","6,315"
17,石油製品・石炭製品製造業,36,徳島県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,37,香川県,2019,1,***,***,1,911,X,X,X,X,X
17,石油製品・石炭製品製造業,38,愛媛県,2019,2,***,1,1,595,X,X,X,X,X
17,石油製品・石炭製品製造業,39,高知県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,40,福岡県,2019,3,1,1,1,542,X,X,X,X,X
17,石油製品・石炭製品製造業,41,佐賀県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,42,長崎県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,43,熊本県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,44,大分県,2019,2,***,1,1,630,X,X,X,X,X
17,石油製品・石炭製品製造業,45,宮崎県,2019,1,1,***,***,39,X,X,X,X,X
17,石油製品・石炭製品製造業,46,鹿児島県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,47,沖縄県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,61,札幌市,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,62,仙台市,2019,2,1,***,1,415,X,X,X,X,X
17,石油製品・石炭製品製造業,63,さいたま市,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,64,千葉市,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,65,東京特別区,2019,2,2,***,***,103,X,X,X,X,X
17,石油製品・石炭製品製造業,66,横浜市,2019,7,5,1,1,"1,115","9,610","852,404","1,112,357","1,095,264","42,495"
17,石油製品・石炭製品製造業,67,川崎市,2019,5,3,***,2,"1,510","12,838","830,976","1,181,265","1,178,264","64,207"
17,石油製品・石炭製品製造業,68,相模原市,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,69,新潟市,2019,1,1,***,***,35,X,X,X,X,X
17,石油製品・石炭製品製造業,70,静岡市,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,71,浜松市,2019,1,1,***,***,58,X,X,X,X,X
17,石油製品・石炭製品製造業,72,名古屋市,2019,1,1,***,***,66,X,X,X,X,X
17,石油製品・石炭製品製造業,73,京都市,2019,1,1,***,***,63,X,X,X,X,X
17,石油製品・石炭製品製造業,74,大阪市,2019,2,2,***,***,101,X,X,X,X,X
17,石油製品・石炭製品製造業,75,堺市,2019,2,***,***,2,776,X,X,X,X,X
17,石油製品・石炭製品製造業,76,神戸市,2019,2,2,***,***,114,X,X,X,X,X
17,石油製品・石炭製品製造業,77,岡山市,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,78,広島市,2019,1,1,***,***,52,X,X,X,X,X
17,石油製品・石炭製品製造業,79,北九州市,2019,2,***,1,1,477,X,X,X,X,X
17,石油製品・石炭製品製造業,80,福岡市,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,81,熊本市,2019,***,***,***,***,***,***,***,***,***,***
18,プラスチック製品製造業（別掲を除く）,00,全国計,2015,"3,186","2,402",664,120,"291,631","1,273,268","5,680,889","9,669,973","9,173,865","3,362,798"
18,プラスチック製品製造業（別掲を除く）,00,全国計,2016,"3,190","2,320",727,143,"308,566","1,321,256","5,701,450","9,758,075","9,155,703","3,429,503"
18,プラスチック製品製造業（別掲を除く）,00,全国計,2017,"3,308","2,397",769,142,"319,904","1,379,009","6,153,830","10,451,737","9,876,661","3,693,250"
18,プラスチック製品製造業（別掲を除く）,00,全国計,2018,"3,396","2,446",806,144,"335,849","1,457,176","6,589,450","11,030,154","10,453,088","3,825,945"
18,プラスチック製品製造業（別掲を除く）,00,全国計,2019,"3,423","2,450",823,150,"338,890","1,482,722","6,513,701","11,031,133","10,377,801","3,837,319"
18,プラスチック製品製造業（別掲を除く）,01,北海道,2019,39,35,2,2,"2,868","10,888","31,835","57,845","50,938","21,907"
18,プラスチック製品製造業（別掲を除く）,02,青森県,2019,10,8,2,***,714,"2,501","8,767","13,702","9,078","4,084"
18,プラスチック製品製造業（別掲を除く）,03,岩手県,2019,36,28,7,1,"3,137","11,021","41,853","71,478","69,904","25,289"
18,プラスチック製品製造業（別掲を除く）,04,宮城県,2019,44,35,9,***,"3,435","13,664","44,756","83,588","80,085","33,064"
18,プラスチック製品製造業（別掲を除く）,05,秋田県,2019,16,12,4,***,"1,317","3,665","12,097","18,791","18,750","5,635"
18,プラスチック製品製造業（別掲を除く）,06,山形県,2019,33,24,8,1,"3,003","10,399","28,238","53,391","52,476","21,539"
18,プラスチック製品製造業（別掲を除く）,07,福島県,2019,71,52,16,3,"7,143","29,807","127,981","203,568","190,273","63,871"
18,プラスチック製品製造業（別掲を除く）,08,茨城県,2019,158,107,43,8,"17,810","85,766","440,747","734,500","654,196","248,772"
18,プラスチック製品製造業（別掲を除く）,09,栃木県,2019,135,88,37,10,"15,420","72,736","297,271","522,396","499,776","181,849"
18,プラスチック製品製造業（別掲を除く）,10,群馬県,2019,128,83,37,8,"13,852","57,027","278,979","476,537","453,965","162,891"
18,プラスチック製品製造業（別掲を除く）,11,埼玉県,2019,192,146,39,7,"16,639","73,955","320,789","540,484","511,075","185,729"
18,プラスチック製品製造業（別掲を除く）,12,千葉県,2019,81,62,18,1,"6,659","30,516","146,105","239,376","231,137","81,024"
18,プラスチック製品製造業（別掲を除く）,13,東京都,2019,44,43,1,***,"2,216","10,120","18,375","38,772","34,017","17,314"
18,プラスチック製品製造業（別掲を除く）,14,神奈川県,2019,114,90,19,5,"10,501","53,842","247,929","421,031","409,920","150,826"
18,プラスチック製品製造業（別掲を除く）,15,新潟県,2019,64,47,14,3,"5,787","22,971","105,955","163,770","148,378","50,250"
18,プラスチック製品製造業（別掲を除く）,16,富山県,2019,68,45,17,6,"7,036","27,708","83,341","154,435","139,957","60,116"
18,プラスチック製品製造業（別掲を除く）,17,石川県,2019,22,16,5,1,"2,026","8,520","21,199","41,579","40,770","17,663"
18,プラスチック製品製造業（別掲を除く）,18,福井県,2019,38,26,10,2,"4,086","18,311","95,167","156,598","129,930","51,027"
18,プラスチック製品製造業（別掲を除く）,19,山梨県,2019,39,28,11,***,"3,175","11,466","44,930","74,714","72,817","24,462"
18,プラスチック製品製造業（別掲を除く）,20,長野県,2019,85,65,19,1,"6,802","25,933","82,176","148,257","140,744","55,842"
18,プラスチック製品製造業（別掲を除く）,21,岐阜県,2019,136,81,46,9,"15,672","68,410","272,177","467,992","457,128","160,603"
18,プラスチック製品製造業（別掲を除く）,22,静岡県,2019,218,156,51,11,"22,940","98,161","401,619","672,039","643,549","228,673"
18,プラスチック製品製造業（別掲を除く）,23,愛知県,2019,412,288,97,27,"44,475","202,340","880,427","1,452,695","1,342,079","490,015"
18,プラスチック製品製造業（別掲を除く）,24,三重県,2019,93,57,31,5,"11,646","49,319","298,965","475,943","437,425","147,534"
18,プラスチック製品製造業（別掲を除く）,25,滋賀県,2019,112,69,34,9,"14,056","71,939","329,743","582,518","563,298","215,483"
18,プラスチック製品製造業（別掲を除く）,26,京都府,2019,58,42,14,2,"4,791","18,980","72,541","123,842","115,420","42,339"
18,プラスチック製品製造業（別掲を除く）,27,大阪府,2019,246,201,41,4,"19,964","85,405","320,518","587,890","541,880","228,273"
18,プラスチック製品製造業（別掲を除く）,28,兵庫県,2019,127,93,31,3,"11,179","52,218","242,706","427,545","409,682","163,659"
18,プラスチック製品製造業（別掲を除く）,29,奈良県,2019,58,47,11,***,"4,511","18,222","71,342","122,501","119,893","42,321"
18,プラスチック製品製造業（別掲を除く）,30,和歌山県,2019,19,19,***,***,973,"3,183","16,819","30,213","30,036","11,296"
18,プラスチック製品製造業（別掲を除く）,31,鳥取県,2019,13,11,2,***,829,"2,679","10,143","20,227","20,046","8,752"
18,プラスチック製品製造業（別掲を除く）,32,島根県,2019,11,6,5,***,948,"3,107","14,151","22,285","22,223","6,253"
18,プラスチック製品製造業（別掲を除く）,33,岡山県,2019,68,50,15,3,"6,647","31,394","151,604","253,590","221,664","87,768"
18,プラスチック製品製造業（別掲を除く）,34,広島県,2019,84,51,27,6,"12,387","55,957","347,935","539,983","523,140","170,368"
18,プラスチック製品製造業（別掲を除く）,35,山口県,2019,37,25,11,1,"3,897","17,045","73,291","113,869","113,257","34,310"
18,プラスチック製品製造業（別掲を除く）,36,徳島県,2019,13,6,7,***,"1,513","6,727","24,506","43,178","42,904","16,496"
18,プラスチック製品製造業（別掲を除く）,37,香川県,2019,32,19,12,1,"3,281","13,850","79,847","117,356","107,178","30,771"
18,プラスチック製品製造業（別掲を除く）,38,愛媛県,2019,30,24,3,3,"3,247","15,967","85,864","165,233","159,100","70,430"
18,プラスチック製品製造業（別掲を除く）,39,高知県,2019,9,8,1,***,483,"1,752","4,774","8,614","8,444","3,068"
18,プラスチック製品製造業（別掲を除く）,40,福岡県,2019,91,57,30,4,"9,530","38,165","170,658","271,535","255,810","85,906"
18,プラスチック製品製造業（別掲を除く）,41,佐賀県,2019,24,14,10,***,"1,966","7,483","31,359","48,948","48,245","15,127"
18,プラスチック製品製造業（別掲を除く）,42,長崎県,2019,7,5,2,***,651,"2,262","8,329","16,094","15,539","6,170"
18,プラスチック製品製造業（別掲を除く）,43,熊本県,2019,40,25,14,1,"4,428","18,006","50,910","110,890","106,893","50,482"
18,プラスチック製品製造業（別掲を除く）,44,大分県,2019,33,25,7,1,"2,714","9,851","37,473","71,095","71,099","28,808"
18,プラスチック製品製造業（別掲を除く）,45,宮崎県,2019,20,16,3,1,"1,665","6,454","25,551","51,242","48,821","23,273"
18,プラスチック製品製造業（別掲を除く）,46,鹿児島県,2019,10,10,***,***,525,"1,880","7,201","11,698","10,498","3,813"
18,プラスチック製品製造業（別掲を除く）,47,沖縄県,2019,5,5,***,***,346,"1,148","4,760","7,309","4,366","2,177"
18,プラスチック製品製造業（別掲を除く）,61,札幌市,2019,4,4,***,***,154,572,"1,273","2,431","1,953",959
18,プラスチック製品製造業（別掲を除く）,62,仙台市,2019,2,2,***,***,68,X,X,X,X,X
18,プラスチック製品製造業（別掲を除く）,63,さいたま市,2019,16,14,1,1,"1,204","5,193","12,934","19,553","18,977","4,916"
18,プラスチック製品製造業（別掲を除く）,64,千葉市,2019,5,4,1,***,288,"1,566","5,669","11,430","11,075","4,824"
18,プラスチック製品製造業（別掲を除く）,65,東京特別区,2019,27,26,1,***,"1,340","6,347","12,137","24,787","20,850","10,552"
18,プラスチック製品製造業（別掲を除く）,66,横浜市,2019,21,16,4,1,"1,936","7,924","35,498","61,641","60,959","23,164"
18,プラスチック製品製造業（別掲を除く）,67,川崎市,2019,9,7,1,1,797,"3,972","11,895","22,709","21,627","8,510"
18,プラスチック製品製造業（別掲を除く）,68,相模原市,2019,14,11,1,2,"1,800","12,276","101,094","129,707","128,881","27,765"
18,プラスチック製品製造業（別掲を除く）,69,新潟市,2019,6,5,1,***,438,"1,319","3,782","7,152","7,132","2,931"
18,プラスチック製品製造業（別掲を除く）,70,静岡市,2019,20,14,6,***,"1,586","6,124","28,157","48,919","48,268","19,678"
18,プラスチック製品製造業（別掲を除く）,71,浜松市,2019,44,31,12,1,"4,033","17,044","87,659","134,616","127,916","41,053"
18,プラスチック製品製造業（別掲を除く）,72,名古屋市,2019,44,33,11,***,"3,145","12,173","43,216","78,758","77,535","30,390"
18,プラスチック製品製造業（別掲を除く）,73,京都市,2019,11,8,3,***,763,"3,660","6,989","15,906","15,493","7,995"
18,プラスチック製品製造業（別掲を除く）,74,大阪市,2019,40,35,5,***,"2,349","9,216","33,173","59,125","53,677","22,756"
18,プラスチック製品製造業（別掲を除く）,75,堺市,2019,7,4,3,***,574,"3,112","8,343","22,065","20,312","11,238"
18,プラスチック製品製造業（別掲を除く）,76,神戸市,2019,16,10,6,***,"1,439","7,809","38,424","72,151","63,478","30,500"
18,プラスチック製品製造業（別掲を除く）,77,岡山市,2019,14,11,3,***,"1,050","4,860","42,466","59,498","55,530","15,096"
18,プラスチック製品製造業（別掲を除く）,78,広島市,2019,16,11,5,***,"1,500","6,787","24,862","46,947","45,734","18,982"
18,プラスチック製品製造業（別掲を除く）,79,北九州市,2019,15,11,3,1,"1,312","4,944","23,294","38,460","37,524","12,854"
18,プラスチック製品製造業（別掲を除く）,80,福岡市,2019,2,1,1,***,141,X,X,X,X,X
18,プラスチック製品製造業（別掲を除く）,81,熊本市,2019,4,4,***,***,277,"1,132","5,206","8,809","7,695","2,924"
19,ゴム製品製造業,00,全国計,2015,621,403,154,64,"91,754","444,450","1,715,746","3,199,210","3,075,763","1,313,537"
19,ゴム製品製造業,00,全国計,2016,606,385,158,63,"89,724","441,119","1,415,960","2,822,778","2,666,236","1,234,795"
19,ゴム製品製造業,00,全国計,2017,616,386,164,66,"93,678","444,158","1,502,270","2,875,463","2,704,655","1,205,544"
19,ゴム製品製造業,00,全国計,2018,624,388,167,69,"98,421","472,022","1,591,049","3,034,835","2,877,264","1,274,423"
19,ゴム製品製造業,00,全国計,2019,615,380,168,67,"96,558","472,690","1,591,675","3,033,636","2,883,625","1,274,340"
19,ゴム製品製造業,01,北海道,2019,5,3,2,***,424,"1,589","4,287","8,304","6,728","3,840"
19,ゴム製品製造業,02,青森県,2019,3,3,***,***,148,513,536,"1,726","1,710","1,039"
19,ゴム製品製造業,03,岩手県,2019,5,4,1,***,427,"1,116","2,583","4,622","3,929","1,730"
19,ゴム製品製造業,04,宮城県,2019,12,6,5,1,"2,560","12,262","45,362","70,312","70,248","21,794"
19,ゴム製品製造業,05,秋田県,2019,6,5,1,***,397,989,"1,425","3,648","3,590","1,768"
19,ゴム製品製造業,06,山形県,2019,4,3,1,***,252,X,X,X,X,X
19,ゴム製品製造業,07,福島県,2019,32,18,11,3,"5,565","26,008","92,182","200,567","198,763","98,811"
19,ゴム製品製造業,08,茨城県,2019,21,13,6,2,"2,509","11,846","36,899","63,512","62,665","22,195"
19,ゴム製品製造業,09,栃木県,2019,26,17,6,3,"4,263","20,385","64,290","147,961","141,602","74,221"
19,ゴム製品製造業,10,群馬県,2019,15,11,2,2,"1,981","8,262","19,868","44,855","43,600","22,455"
19,ゴム製品製造業,11,埼玉県,2019,43,29,11,3,"4,598","19,203","56,428","99,886","90,772","38,242"
19,ゴム製品製造業,12,千葉県,2019,21,17,4,***,"1,489","6,821","10,712","23,985","23,029","11,040"
19,ゴム製品製造業,13,東京都,2019,11,10,1,***,697,"3,577","8,261","12,860","12,205","3,479"
19,ゴム製品製造業,14,神奈川県,2019,14,6,6,2,"5,069","30,831","51,963","95,618","80,173","35,579"
19,ゴム製品製造業,15,新潟県,2019,7,4,3,***,687,"2,350","6,455","12,013","11,057","4,869"
19,ゴム製品製造業,16,富山県,2019,6,3,2,1,815,"3,800","7,158","14,640","12,151","6,534"
19,ゴム製品製造業,17,石川県,2019,3,3,***,***,170,586,"2,773","3,892","3,902",922
19,ゴム製品製造業,18,福井県,2019,2,1,1,***,161,X,X,X,X,X
19,ゴム製品製造業,19,山梨県,2019,3,2,1,***,179,"1,079","11,117","21,747","20,904","9,941"
19,ゴム製品製造業,20,長野県,2019,9,5,4,***,795,"2,973","6,183","10,838","7,022","4,091"
19,ゴム製品製造業,21,岐阜県,2019,24,19,5,***,"1,845","7,547","34,735","53,531","45,323","16,469"
19,ゴム製品製造業,22,静岡県,2019,29,15,8,6,"6,439","33,356","82,221","179,414","174,291","84,892"
19,ゴム製品製造業,23,愛知県,2019,52,34,13,5,"10,043","50,531","221,597","398,095","396,926","151,721"
19,ゴム製品製造業,24,三重県,2019,33,19,9,5,"6,932","34,117","127,438","221,113","218,418","80,039"
19,ゴム製品製造業,25,滋賀県,2019,6,2,3,1,"2,054","13,842","51,318","105,792","106,187","45,131"
19,ゴム製品製造業,26,京都府,2019,4,2,2,***,633,"2,793","11,145","17,186","17,107","4,967"
19,ゴム製品製造業,27,大阪府,2019,38,25,10,3,"3,986","18,570","51,596","101,446","96,620","43,522"
19,ゴム製品製造業,28,兵庫県,2019,32,23,4,5,"4,007","20,375","70,580","110,920","101,771","35,450"
19,ゴム製品製造業,29,奈良県,2019,13,6,4,3,"2,184","10,597","35,277","60,830","49,992","22,666"
19,ゴム製品製造業,30,和歌山県,2019,9,7,1,1,"1,067","4,448","9,037","20,281","20,334","11,040"
19,ゴム製品製造業,31,鳥取県,2019,3,1,2,***,416,"1,343","4,133","6,739","6,689","2,292"
19,ゴム製品製造業,32,島根県,2019,7,5,2,***,541,"1,570","3,494","6,686","6,619","2,849"
